Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:29:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4355          3.51  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:30:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4355          3.51  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:31:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:32:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:33:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:34:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:35:01 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:36:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:37:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:38:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:39:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4029          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:40:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / HEX               4167          4.86  2.90 -> 3.04  2022-07-04  yAQUA: 0.84, AQUA: 0.16
XLM / BTC                4093          4.11  2.29 -> 2.38  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / iFIDR             4028          1.98  7.13 -> 7.26  2022-07-04  FIDR: 0.93, AQUA: 0.07
HEX / USDA               3849          2.40  3.91 -> 4.00  2022-07-04  yAQUA: 0.83, AQUA: 0.17
AQUA / GBPC              3793          5.33  2.64 -> 2.78  2022-07-04  AQUA
ETH / USDC               3518          3.51  2.67 -> 2.77  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / ETH                2830          2.81  3.35 -> 3.44  2022-07-04  USDC: 0.86, AQUA: 0.14
BTC / USDC               2599          2.57  3.65 -> 3.74  2022-07-04  USDC: 0.86, AQUA: 0.14
AQUA / GCRX              2298          5.67  2.49 -> 2.62  2022-07-04  AQUA
XLM / SDEXEX             2104          1.07  8.82 -> 8.90  2022-07-04  SDEXEX: 0.93, AQUA: 0.07
Thu Jun 30 20:41:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / SCN               4846          5.69  2.48 -> 2.61  2022-07-04  AQUA
AQUA / iDRA              4433          2.18  6.46 -> 6.59  2022-07-04  FIDR: 0.93, AQUA: 0.07
AQUA / yAQUA             4352          3.50  4.02 -> 4.16  2022-07-04  yAQUA: 0.89, AQUA: 0.11
XLM / ETH                4244          4.27  2.20 -> 2.29  2022-07-04  USDC: 0.86, AQUA: 0.14
